Date,Type,Unscheduled,Year,Month,Day,Date-Number,ET Time,
2/27/1953,CPI,0,1953,2,27,19417,8.30,
3/26/1953,CPI,0,1953,3,26,19444,8.30,
4/22/1953,CPI,0,1953,4,22,19471,8.30,
5/22/1953,CPI,0,1953,5,22,19501,8.30,
6/23/1953,CPI,0,1953,6,23,19533,8.30,
7/22/1953,CPI,0,1953,7,22,19562,8.30,
8/26/1953,CPI,0,1953,8,26,19597,8.30,
9/23/1953,CPI,0,1953,9,23,19625,8.30,
10/28/1953,CPI,0,1953,10,28,19660,8.30,
11/25/1953,CPI,0,1953,11,25,19688,8.30,
12/23/1953,CPI,0,1953,12,23,19716,8.30,
1/22/1954,CPI,0,1954,1,22,19746,8.30,
2/26/1954,CPI,0,1954,2,26,19781,8.30,
3/24/1954,CPI,0,1954,3,24,19807,8.30,
4/22/1954,CPI,0,1954,4,22,19836,8.30,
5/21/1954,CPI,0,1954,5,21,19865,8.30,
6/22/1954,CPI,0,1954,6,22,19897,8.30,
7/23/1954,CPI,0,1954,7,23,19928,8.30,
8/20/1954,CPI,0,1954,8,20,19956,8.30,
9/24/1954,CPI,0,1954,9,24,19991,8.30,
10/26/1954,CPI,0,1954,10,26,20023,8.30,
11/24/1954,CPI,0,1954,11,24,20052,8.30,
12/22/1954,CPI,0,1954,12,22,20080,8.30,
1/21/1955,CPI,0,1955,1,21,20110,8.30,
2/25/1955,CPI,0,1955,2,25,20145,8.30,
3/23/1955,CPI,0,1955,3,23,20171,8.30,
4/22/1955,CPI,0,1955,4,22,20201,8.30,
5/20/1955,CPI,0,1955,5,20,20229,8.30,
6/23/1955,CPI,0,1955,6,23,20263,8.30,
7/26/1955,CPI,0,1955,7,26,20296,8.30,
8/23/1955,CPI,0,1955,8,23,20324,8.30,
9/23/1955,CPI,0,1955,9,23,20355,8.30,
10/21/1955,CPI,0,1955,10,21,20383,8.30,
11/22/1955,CPI,0,1955,11,22,20415,8.30,
12/21/1955,CPI,0,1955,12,21,20444,8.30,
1/20/1956,CPI,0,1956,1,20,20474,8.30,
2/24/1956,CPI,0,1956,2,24,20509,8.30,
3/26/1956,CPI,0,1956,3,26,20540,8.30,
4/25/1956,CPI,0,1956,4,25,20570,8.30,
5/24/1956,CPI,0,1956,5,24,20599,8.30,
6/26/1956,CPI,0,1956,6,26,20632,8.30,
7/24/1956,CPI,0,1956,7,24,20660,8.30,
8/24/1956,CPI,0,1956,8,24,20691,8.30,
9/21/1956,CPI,0,1956,9,21,20719,8.30,
10/25/1956,CPI,0,1956,10,25,20753,8.30,
11/26/1956,CPI,0,1956,11,26,20785,8.30,
12/21/1956,CPI,0,1956,12,21,20810,8.30,
1/25/1957,CPI,0,1957,1,25,20845,8.30,
2/21/1957,CPI,0,1957,2,21,20872,8.30,
3/22/1957,CPI,0,1957,3,22,20901,8.30,
4/23/1957,CPI,0,1957,4,23,20933,8.30,
5/24/1957,CPI,0,1957,5,24,20964,8.30,
6/25/1957,CPI,0,1957,6,25,20996,8.30,
7/24/1957,CPI,0,1957,7,24,21025,8.30,
8/11/1957,Emp,0,1957,11,8,21132,8.30,
8/22/1957,CPI,0,1957,8,22,21054,8.30,
9/24/1957,CPI,0,1957,9,24,21087,8.30,
10/9/1957,Emp,0,1957,9,10,21073,8.30,
10/10/1957,Emp,0,1957,10,10,21103,8.30,
10/25/1957,CPI,0,1957,10,25,21118,8.30,
11/7/1957,Emp,0,1957,7,11,21012,8.30,
11/12/1957,Emp,0,1957,12,11,21165,8.30,
11/22/1957,CPI,0,1957,11,22,21146,8.30,
12/8/1957,Emp,0,1957,8,12,21044,8.30,
12/20/1957,CPI,0,1957,12,20,21174,8.30,
1/14/1958,Emp,0,1958,1,14,21199,8.30,
1/21/1958,CPI,0,1958,1,21,21206,8.30,
2/25/1958,CPI,0,1958,2,25,21241,8.30,
3/21/1958,CPI,0,1958,3,21,21265,8.30,
4/23/1958,CPI,0,1958,4,23,21298,8.30,
4/29/1958,Emp,0,1958,4,29,21304,8.30,
5/22/1958,CPI,0,1958,5,22,21327,8.30,
6/6/1958,Emp,0,1958,6,6,21342,8.30,
6/24/1958,CPI,0,1958,6,24,21360,8.30,
7/23/1958,CPI,0,1958,7,23,21389,8.30,
8/4/1958,Emp,0,1958,4,8,21283,8.30,
8/7/1958,Emp,0,1958,7,8,21374,8.30,
8/8/1958,Emp,0,1958,8,8,21405,8.30,
8/22/1958,CPI,0,1958,8,22,21419,8.30,
